Item,Quantity,"Units (lb, g, mL, etc.) ",Price,FDC
Hass Avocado ,6,oz,1.67,2609822
Tofu,14,oz,2.79,2294522
Lacinato Kale,1,lb,2.79,2495872
Oat Milk,64,oz,6.49,2257046
Flat Leaf Parsley,2,oz,1.49,170416
Maradol Papayas,1,lb,5.99,169926
Gemelli Pasta,7,oz,2.99,1124597
Roma Tomatoes,1,lb,1.49,1608947
Serrano Peppers,0.1,lb,0.13,2390015
Cilantro,2.8,oz,0.99,399147
Corn Tortillas,16,oz,2.29,1850647
Chorizo,9,oz,1.99,2341591
Pressed Juices,12,fl oz,5.99,2095092
Arugula,5,oz,3.49,2630019
Apples,3,lb,4.99,1545857
Oranges,3,lb,5.99,578523
Bananas,1,lb,0.89,173945
Potatoes,5,lb,4.99,576920
Tomatoes (Vine Red),1,lb,1.66,170050
Milk,1,gallon,4.99,1909132
Cheese,8,oz,3.99,2679762
Chips (Lay's Original),8,oz,4.79,1635045
Bread,20,oz,4.99,1913550
Flour,5,lb,3.29,2671058
Chicken,2,lb,11.98,2090362
Ground Beef ,3,lb,17.97,1942314
Eggs,1.5,dozen,6.99,1663044
Onions,3,lb,2.99,2345315
